id,task,dataset,n,p,dataset_seed,category,method,method_seed,HPs,time,success,R2,R2train
reg_0_133_21_7_GBDT_XGBoost_0_nohp,reg,0,133,21,7,GBDT,XGBoost,0,nohp,0.03412508964538574,True,0.8455327107280074,0.9999831309350673
reg_0_133_21_7_GBDT_LGBM_0_nohp,reg,0,133,21,7,GBDT,LGBM,0,nohp,0.00808405876159668,True,0.8249811947272736,0.9233643105387404
reg_0_133_21_7_mlrnet_mlrnetfast_0_nohp,reg,0,133,21,7,mlrnet,mlrnetfast,0,nohp,1.0545682907104492,True,0.8248230164965745,0.9863442221311618
reg_0_133_21_7_NN_regularnetfast_0_nohp,reg,0,133,21,7,NN,regularnetfast,0,nohp,0.9129176139831543,True,0.8126676042371515,0.9863594149399296
reg_0_133_21_8_Baseline_Intercept_0_nohp,reg,0,133,21,8,Baseline,Intercept,0,nohp,0.0005795955657958984,True,-0.0022587295671114838,0.0
reg_0_133_21_8_GLM_Ridge_0_nohp,reg,0,133,21,8,GLM,Ridge,0,nohp,0.001377105712890625,True,0.8810353855209146,0.8502220722911896
reg_0_133_21_8_GLM_Lasso_0_nohp,reg,0,133,21,8,GLM,Lasso,0,nohp,0.0424656867980957,True,0.8813946018104903,0.847830122961297
reg_0_133_21_8_GLM_Enet_0_nohp,reg,0,133,21,8,GLM,Enet,0,nohp,0.043363094329833984,True,0.8830332532727576,0.8486473883820699
reg_0_133_21_8_TREE_CART_0_nohp,reg,0,133,21,8,TREE,CART,0,nohp,0.0013093948364257812,True,0.8300093510049422,1.0
reg_0_133_21_8_RF_XRF_0_nohp,reg,0,133,21,8,RF,XRF,0,nohp,0.08694696426391602,True,0.8103685588371753,1.0
reg_0_133_21_8_GBDT_xgb_sklearn_0_nohp,reg,0,133,21,8,GBDT,xgb_sklearn,0,nohp,0.026306867599487305,True,0.9400797358874613,0.9646576690763657
reg_0_133_21_8_SVM_Kernel_0_nohp,reg,0,133,21,8,SVM,Kernel,0,nohp,0.0012664794921875,True,0.8819972565180603,0.8501082802538313
reg_0_133_21_8_SVM_NuSVM_0_nohp,reg,0,133,21,8,SVM,NuSVM,0,nohp,0.0036897659301757812,True,0.94020029677371,0.948112660513026
reg_0_133_21_8_NN_MLP_sklearn_0_nohp,reg,0,133,21,8,NN,MLP_sklearn,0,nohp,0.1125483512878418,True,0.8825279330847857,0.9830954934679004
reg_0_133_21_8_RF_RF_0_nohp,reg,0,133,21,8,RF,RF,0,nohp,0.10961079597473145,True,0.9279441591910055,0.9814322040832629
