id,task,dataset,n,p,dataset_seed,strat,category,method,method_seed,HPs,time,success,R2,R2train
reg_0_133_21_4_False_GLM_Lasso_0_nohp,reg,0,133,21,4,False,GLM,Lasso,0,nohp,0.041152000427246,True,0.8852820352384845,0.846232393603386
reg_0_133_21_4_False_GLM_Enet_0_nohp,reg,0,133,21,4,False,GLM,Enet,0,nohp,0.0427196025848388,True,0.8846296761140199,0.8461145573957136
reg_0_133_21_4_False_TREE_CART_0_nohp,reg,0,133,21,4,False,TREE,CART,0,nohp,0.0014305114746093,True,0.7772916908190628,1.0
reg_0_133_21_4_False_RF_XRF_0_nohp,reg,0,133,21,4,False,RF,XRF,0,nohp,0.0865275859832763,True,0.7806669880103113,1.0
reg_0_133_21_4_False_GBDT_xgb_sklearn_0_nohp,reg,0,133,21,4,False,GBDT,xgb_sklearn,0,nohp,0.0269675254821777,True,0.8744762941861347,0.9731976325098
reg_0_133_21_4_False_SVM_Kernel_0_nohp,reg,0,133,21,4,False,SVM,Kernel,0,nohp,0.0013186931610107,True,0.8857131598213221,0.846272902224435
reg_0_133_21_4_False_SVM_NuSVM_0_nohp,reg,0,133,21,4,False,SVM,NuSVM,0,nohp,0.003563642501831,True,0.8501614858038182,0.957542146551228
reg_0_133_21_4_False_NN_MLP_sklearn_0_nohp,reg,0,133,21,4,False,NN,MLP_sklearn,0,nohp,0.1094329357147216,True,0.8344131821163623,0.9862859886791412
reg_0_133_21_4_False_RF_RF_0_nohp,reg,0,133,21,4,False,RF,RF,0,nohp,0.1074919700622558,True,0.8967507464741064,0.9808481131573944
reg_0_133_21_4_False_MARS_MARS_0_nohp,reg,0,133,21,4,False,MARS,MARS,0,nohp,0.0238137245178222,True,0.8895371292437277,0.837774915352087
reg_0_133_21_4_False_GBDT_XGBoost_0_nohp,reg,0,133,21,4,False,GBDT,XGBoost,0,nohp,0.0333094596862793,True,0.8943879109351962,0.999982881968535
reg_0_133_21_4_False_GBDT_LGBM_0_nohp,reg,0,133,21,4,False,GBDT,LGBM,0,nohp,0.0083315372467041,True,0.8301381219912649,0.8875778771709832
reg_0_133_21_4_False_mlrnet_mlrnetfast_0_nohp,reg,0,133,21,4,False,mlrnet,mlrnetfast,0,nohp,1.0531907081604004,True,0.8955434475224204,0.9796733138166376
reg_0_133_21_4_False_NN_regularnetfast_0_nohp,reg,0,133,21,4,False,NN,regularnetfast,0,nohp,0.9171309471130372,True,0.890929736238662,0.9775364241993147
reg_0_133_21_5_False_Baseline_Intercept_0_nohp,reg,0,133,21,5,False,Baseline,Intercept,0,nohp,0.0005772113800048,True,-5.992616105721105e-05,0.0
reg_0_133_21_5_False_GLM_Ridge_0_nohp,reg,0,133,21,5,False,GLM,Ridge,0,nohp,0.0012943744659423,True,0.8431061768038246,0.8603766198969967
reg_0_133_21_5_False_GLM_Lasso_0_nohp,reg,0,133,21,5,False,GLM,Lasso,0,nohp,0.0405917167663574,True,0.8419718345284422,0.8604328687765497
reg_0_133_21_5_False_GLM_Enet_0_nohp,reg,0,133,21,5,False,GLM,Enet,0,nohp,0.0419671535491943,True,0.8431216119768297,0.8603705279783062
reg_0_133_21_5_False_TREE_CART_0_nohp,reg,0,133,21,5,False,TREE,CART,0,nohp,0.001274824142456,True,0.8169294572231969,1.0
reg_0_133_21_5_False_RF_XRF_0_nohp,reg,0,133,21,5,False,RF,XRF,0,nohp,0.0844225883483886,True,0.7992516660791877,1.0
reg_0_133_21_5_False_GBDT_xgb_sklearn_0_nohp,reg,0,133,21,5,False,GBDT,xgb_sklearn,0,nohp,0.0271046161651611,True,0.8694197823325787,0.9663216527312388
reg_0_133_21_5_False_SVM_Kernel_0_nohp,reg,0,133,21,5,False,SVM,Kernel,0,nohp,0.0013976097106933,True,0.8432375688772695,0.8603621263462913
