id,task,dataset,n,p,dataset_seed,category,method,method_seed,HPs,time,success,ACC,AUC,ACCtrain,AUCtrain
clf_14_4099_20_6_TREE_XCART_0_nohp,clf,14,4099,20,6,TREE,XCART,0,nohp,0.008818864822387695,True,0.686829268292683,0.6895288097649379,0.9965845328128812,0.9999760739806801
clf_14_4099_20_6_RF_XRF_0_nohp,clf,14,4099,20,6,RF,XRF,0,nohp,0.5734882354736328,True,0.7658536585365854,0.8466861346105523,0.9965845328128812,0.9999760739806801
clf_14_4099_20_6_GBDT_xgb_sklearn_0_nohp,clf,14,4099,20,6,GBDT,xgb_sklearn,0,nohp,0.30038881301879883,True,0.7707317073170732,0.8623188681687696,0.7714076604049768,0.8694109533078376
clf_14_4099_20_6_GBDT_ADABoost_0_nohp,clf,14,4099,20,6,GBDT,ADABoost,0,nohp,0.19803357124328613,True,0.7560975609756098,0.8430615943408438,0.7484752378628934,0.8387325590032301
clf_14_4099_20_6_NN_MLP_sklearn_0_nohp,clf,14,4099,20,6,NN,MLP_sklearn,0,nohp,3.174838066101074,True,0.7463414634146341,0.8402346813678833,0.8731397901927299,0.9519264373704901
clf_14_4099_20_6_RF_RF_0_nohp,clf,14,4099,20,6,RF,RF,0,nohp,0.5203804969787598,True,0.7678048780487805,0.8572513649135365,0.9965845328128812,0.9999729790727085
clf_14_4099_20_6_GBDT_XGBoost_0_nohp,clf,14,4099,20,6,GBDT,XGBoost,0,nohp,0.3350534439086914,True,0.7726829268292683,0.8585439399361898,0.894120517199317,0.9673259852282423
clf_14_4099_20_6_GBDT_LGBM_0_nohp,clf,14,4099,20,6,GBDT,LGBM,0,nohp,0.14760422706604004,True,0.7746341463414634,0.8698630136986301,0.8638692363991217,0.9470986190044491
clf_14_4099_20_6_mlrnet_mlrnetfast_0_nohp,clf,14,4099,20,6,mlrnet,mlrnetfast,0,nohp,1.520071268081665,True,0.7521951219512195,0.8359667090544975,0.8487435959990242,0.9296966656889931
clf_14_4099_20_6_NN_regularnetfast_0_nohp,clf,14,4099,20,6,NN,regularnetfast,0,nohp,1.1620330810546875,True,0.7414634146341463,0.8523723225231674,0.83996096608929,0.9295421583602511
clf_14_4099_20_7_Baseline_Intercept_0_nohp,clf,14,4099,20,7,Baseline,Intercept,0,nohp,0.004185199737548828,True,0.49853658536585366,0.48804971319311663,0.5047572578677726,0.5013362013551284
clf_14_4099_20_7_GLM_Ridge_0_nohp,clf,14,4099,20,7,GLM,Ridge,0,nohp,0.37152600288391113,True,0.6858536585365854,0.7615960631660738,0.6899243717979995,0.7668651823423818
clf_14_4099_20_7_GLM_LinearRidge_0_nohp,clf,14,4099,20,7,GLM,LinearRidge,0,nohp,0.009722232818603516,True,0.6780487804878049,0.7603086697188303,0.6843132471334472,0.7643334825276049
clf_14_4099_20_7_GLM_Lasso_0_nohp,clf,14,4099,20,7,GLM,Lasso,0,nohp,0.3877570629119873,True,0.6907317073170731,0.7667703945213411,0.6896804098560625,0.7673609755400753
clf_14_4099_20_7_GLM_Enet_0_nohp,clf,14,4099,20,7,GLM,Enet,0,nohp,1.9972059726715088,True,0.6858536585365854,0.7659362549800797,0.6955354964625519,0.7673576424765614
clf_14_4099_20_7_QDA_QDA_0_nohp,clf,14,4099,20,7,QDA,QDA,0,nohp,0.009366035461425781,True,0.6624390243902439,0.7511978853229528,0.7067577457916565,0.7857807939357291
clf_14_4099_20_7_TREE_CART_0_nohp,clf,14,4099,20,7,TREE,CART,0,nohp,0.01732945442199707,True,0.7063414634146341,0.7094280621300648,0.9970724566967553,0.9999822633405867
clf_14_4099_20_7_TREE_XCART_0_nohp,clf,14,4099,20,7,TREE,XCART,0,nohp,0.00990438461303711,True,0.655609756097561,0.6577761611298591,0.9970724566967553,0.9999822633405867
clf_14_4099_20_7_RF_XRF_0_nohp,clf,14,4099,20,7,RF,XRF,0,nohp,0.5868146419525146,True,0.7541463414634146,0.8272702688290814,0.9970724566967553,0.9999822633405867
clf_14_4099_20_7_GBDT_xgb_sklearn_0_nohp,clf,14,4099,20,7,GBDT,xgb_sklearn,0,nohp,0.30304598808288574,True,0.7502439024390244,0.8421114776077334,0.7887289582825079,0.8773881400077137
clf_14_4099_20_7_GBDT_ADABoost_0_nohp,clf,14,4099,20,7,GBDT,ADABoost,0,nohp,0.1989750862121582,True,0.7482926829268293,0.8305382675797766,0.7533544767016346,0.8414952122923383
clf_14_4099_20_7_NN_MLP_sklearn_0_nohp,clf,14,4099,20,7,NN,MLP_sklearn,0,nohp,3.148249626159668,True,0.7102439024390244,0.8072680596923968,0.8709441327152964,0.9514730950351639
clf_14_4099_20_7_RF_RF_0_nohp,clf,14,4099,20,7,RF,RF,0,nohp,0.5390992164611816,True,0.7434146341463415,0.8383502319593519,0.9968284947548183,0.9999779779732116
clf_14_4099_20_7_GBDT_XGBoost_0_nohp,clf,14,4099,20,7,GBDT,XGBoost,0,nohp,0.3408653736114502,True,0.7541463414634146,0.8335263153885415,0.8907050500121981,0.9660378683630373
clf_14_4099_20_7_GBDT_LGBM_0_nohp,clf,14,4099,20,7,GBDT,LGBM,0,nohp,0.1487109661102295,True,0.751219512195122,0.8438635515300176,0.8663088558184923,0.9518178290328879
clf_14_4099_20_7_mlrnet_mlrnetfast_0_nohp,clf,14,4099,20,7,mlrnet,mlrnetfast,0,nohp,1.498063087463379,True,0.7141463414634146,0.7961461991422454,0.7960478165406196,0.8852453610898166
clf_14_4099_20_7_NN_regularnetfast_0_nohp,clf,14,4099,20,7,NN,regularnetfast,0,nohp,1.1558067798614502,True,0.697560975609756,0.7987133683240271,0.8133691144181507,0.9054630101372746
clf_14_4099_20_8_Baseline_Intercept_0_nohp,clf,14,4099,20,8,Baseline,Intercept,0,nohp,0.0038971900939941406,True,0.526829268292683,0.4673067990588379,0.5030495242742132,0.49645585423269134
clf_14_4099_20_8_GLM_Ridge_0_nohp,clf,14,4099,20,8,GLM,Ridge,0,nohp,0.3812441825866699,True,0.6985365853658536,0.7757905838098792,0.6887045620883142,0.7661231611485251
clf_14_4099_20_8_GLM_LinearRidge_0_nohp,clf,14,4099,20,8,GLM,LinearRidge,0,nohp,0.010179281234741211,True,0.7053658536585365,0.7746407821696984,0.683825323249573,0.7631263379525232
clf_14_4099_20_8_GLM_Lasso_0_nohp,clf,14,4099,20,8,GLM,Lasso,0,nohp,0.3589024543762207,True,0.7014634146341463,0.7757962947451781,0.6891924859721883,0.766369087297355
clf_14_4099_20_8_GLM_Enet_0_nohp,clf,14,4099,20,8,GLM,Enet,0,nohp,1.8905656337738037,True,0.7063414634146341,0.7746579149755952,0.6891924859721883,0.7660063878900536
