id,task,dataset,n,p,dataset_seed,category,method,method_seed,HPs,time,success,R2,R2train
reg_0_109_330_2_GLM_Lasso_0_nohp,reg,0,109,330,2,GLM,Lasso,0,nohp,3.7476894855499268,True,-0.0041692113882441095,0.0
reg_0_109_330_2_GLM_Enet_0_nohp,reg,0,109,330,2,GLM,Enet,0,nohp,2.8977134227752686,True,0.009492427794604907,0.014092010515159292
reg_0_109_330_2_TREE_CART_0_nohp,reg,0,109,330,2,TREE,CART,0,nohp,0.0043027400970458984,True,-0.16105838327242905,0.9679061727268871
reg_0_109_330_2_RF_XRF_0_nohp,reg,0,109,330,2,RF,XRF,0,nohp,0.2762272357940674,True,-0.18571838206708557,0.9679061727268871
reg_0_109_330_2_GBDT_xgb_sklearn_0_nohp,reg,0,109,330,2,GBDT,xgb_sklearn,0,nohp,0.08636784553527832,True,-0.1581651572072149,0.8832607201890763
reg_0_109_330_2_SVM_Kernel_0_nohp,reg,0,109,330,2,SVM,Kernel,0,nohp,0.001764059066772461,True,-1.7764343013294726,0.9212618817018343
reg_0_109_330_2_SVM_NuSVM_0_nohp,reg,0,109,330,2,SVM,NuSVM,0,nohp,0.009452581405639648,True,0.15504678944359784,0.5141954353550385
reg_0_109_330_2_NN_MLP_sklearn_0_nohp,reg,0,109,330,2,NN,MLP_sklearn,0,nohp,0.08799505233764648,True,-1.1633408767964792,0.9643549676094765
reg_0_109_330_2_RF_RF_0_nohp,reg,0,109,330,2,RF,RF,0,nohp,0.25772857666015625,True,0.166409555471564,0.8188268448668639
reg_0_109_330_3_Baseline_Intercept_0_nohp,reg,0,109,330,3,Baseline,Intercept,0,nohp,0.0005173683166503906,True,-0.009611461030776702,0.0
reg_0_109_330_3_GLM_Ridge_0_nohp,reg,0,109,330,3,GLM,Ridge,0,nohp,0.002259969711303711,True,-0.9966375032744079,0.8578114318319241
reg_0_109_330_3_GLM_Lasso_0_nohp,reg,0,109,330,3,GLM,Lasso,0,nohp,3.6913647651672363,True,-0.004908972597509109,0.0571881848880037
reg_0_109_330_3_GLM_Enet_0_nohp,reg,0,109,330,3,GLM,Enet,0,nohp,2.6372125148773193,True,-0.005638604291445359,0.04840145781822214
reg_0_109_330_3_TREE_CART_0_nohp,reg,0,109,330,3,TREE,CART,0,nohp,0.0037789344787597656,True,-2.800022545817807,1.0
reg_0_109_330_3_RF_XRF_0_nohp,reg,0,109,330,3,RF,XRF,0,nohp,0.2565155029296875,True,-0.9022650915671659,1.0
reg_0_109_330_3_GBDT_xgb_sklearn_0_nohp,reg,0,109,330,3,GBDT,xgb_sklearn,0,nohp,0.08676958084106445,True,-0.4025857189316311,0.9052494432417927
reg_0_109_330_3_SVM_Kernel_0_nohp,reg,0,109,330,3,SVM,Kernel,0,nohp,0.001562356948852539,True,-6.381317706708077,0.9449113103037597
reg_0_109_330_3_SVM_NuSVM_0_nohp,reg,0,109,330,3,SVM,NuSVM,0,nohp,0.009864568710327148,True,0.10194134784335662,0.536939584622691
