id,task,dataset,n,p,dataset_seed,strat,category,method,method_seed,HPs,time,success,ACC,AUC,ACCtrain,AUCtrain
clf_7_348_48_7_False_GLM_Enet_0_nohp,clf,7,348,48,7,False,GLM,Enet,0,nohp,1.8083610534667969,True,0.9540229885057471,0.9948863636363636,0.9885057471264368,0.9998265815760267
clf_7_348_48_7_False_QDA_QDA_0_nohp,clf,7,348,48,7,False,QDA,QDA,0,nohp,0.0048437118530273,True,0.6206896551724138,0.6866477272727273,0.6752873563218391,0.7360398168701442
clf_7_348_48_7_False_TREE_CART_0_nohp,clf,7,348,48,7,False,TREE,CART,0,nohp,0.0033655166625976,True,0.9540229885057471,0.9440340909090909,1.0,1.0
clf_7_348_48_7_False_TREE_XCART_0_nohp,clf,7,348,48,7,False,TREE,XCART,0,nohp,0.002852439880371,True,0.9540229885057471,0.9505681818181818,1.0,1.0
clf_7_348_48_7_False_RF_XRF_0_nohp,clf,7,348,48,7,False,RF,XRF,0,nohp,0.1126782894134521,True,0.9655172413793104,0.9886363636363636,1.0,1.0
clf_7_348_48_7_False_GBDT_xgb_sklearn_0_nohp,clf,7,348,48,7,False,GBDT,xgb_sklearn,0,nohp,0.0924985408782959,True,0.9770114942528736,0.9948863636363636,1.0,1.0
clf_7_348_48_7_False_GBDT_ADABoost_0_nohp,clf,7,348,48,7,False,GBDT,ADABoost,0,nohp,0.0982513427734375,True,0.9885057471264368,0.9988636363636364,0.9770114942528736,0.9991155660377359
clf_7_348_48_7_False_NN_MLP_sklearn_0_nohp,clf,7,348,48,7,False,NN,MLP_sklearn,0,nohp,0.3260900974273681,True,0.9540229885057471,0.99375,0.9971264367816092,1.0
clf_7_348_48_7_False_RF_RF_0_nohp,clf,7,348,48,7,False,RF,RF,0,nohp,0.1418187618255615,True,0.9770114942528736,0.9911931818181818,1.0,1.0
clf_7_348_48_7_False_GBDT_XGBoost_0_nohp,clf,7,348,48,7,False,GBDT,XGBoost,0,nohp,0.0537950992584228,True,0.9655172413793104,0.9920454545454546,1.0,0.9999999999999999
clf_7_348_48_7_False_GBDT_LGBM_0_nohp,clf,7,348,48,7,False,GBDT,LGBM,0,nohp,0.0271520614624023,True,0.9655172413793104,0.9840909090909091,1.0,1.0
clf_7_348_48_7_False_mlrnet_mlrnetfast_0_nohp,clf,7,348,48,7,False,mlrnet,mlrnetfast,0,nohp,1.1650140285491943,True,0.9885057471264368,0.9960227272727273,0.985632183908046,0.995109600443951
clf_7_348_48_7_False_NN_regularnetfast_0_nohp,clf,7,348,48,7,False,NN,regularnetfast,0,nohp,1.0453944206237793,True,0.9885057471264368,0.9715909090909092,0.9827586206896551,0.998196448390677
clf_7_348_48_8_False_Baseline_Intercept_0_nohp,clf,7,348,48,8,False,Baseline,Intercept,0,nohp,0.0022172927856445,True,0.5402298850574713,0.4556756756756757,0.4885057471264368,0.5623878706863193
clf_7_348_48_8_False_GLM_Ridge_0_nohp,clf,7,348,48,8,False,GLM,Ridge,0,nohp,0.0900850296020507,True,0.9540229885057471,0.9962162162162161,0.9798850574712644,0.9992612656981039
clf_7_348_48_8_False_GLM_LinearRidge_0_nohp,clf,7,348,48,8,False,GLM,LinearRidge,0,nohp,0.0051510334014892,True,0.9540229885057471,0.9918918918918919,0.9597701149425287,0.997361663207514
clf_7_348_48_8_False_GLM_Lasso_0_nohp,clf,7,348,48,8,False,GLM,Lasso,0,nohp,0.1618156433105468,True,0.9655172413793104,0.994054054054054,0.9712643678160919,0.9972033629999648
clf_7_348_48_8_False_GLM_Enet_0_nohp,clf,7,348,48,8,False,GLM,Enet,0,nohp,1.794797658920288,True,0.9425287356321839,0.9897297297297297,0.9971264367816092,1.0
clf_7_348_48_8_False_QDA_QDA_0_nohp,clf,7,348,48,8,False,QDA,QDA,0,nohp,0.0046412944793701,True,0.9310344827586207,0.96,0.9367816091954023,0.9790340169557111
clf_7_348_48_8_False_TREE_CART_0_nohp,clf,7,348,48,8,False,TREE,CART,0,nohp,0.0034327507019042,True,0.896551724137931,0.8889189189189188,1.0,1.0
clf_7_348_48_8_False_TREE_XCART_0_nohp,clf,7,348,48,8,False,TREE,XCART,0,nohp,0.0029101371765136,True,0.8735632183908046,0.8689189189189189,1.0,1.0
clf_7_348_48_8_False_RF_XRF_0_nohp,clf,7,348,48,8,False,RF,XRF,0,nohp,0.1111650466918945,True,0.9655172413793104,0.9951351351351351,1.0,1.0
clf_7_348_48_8_False_GBDT_xgb_sklearn_0_nohp,clf,7,348,48,8,False,GBDT,xgb_sklearn,0,nohp,0.083794355392456,True,0.9195402298850575,0.9913513513513514,1.0,1.0
clf_7_348_48_8_False_GBDT_ADABoost_0_nohp,clf,7,348,48,8,False,GBDT,ADABoost,0,nohp,0.0914587974548339,True,0.9655172413793104,0.9897297297297297,0.9885057471264368,0.999613043937102
clf_7_348_48_8_False_NN_MLP_sklearn_0_nohp,clf,7,348,48,8,False,NN,MLP_sklearn,0,nohp,0.289485216140747,True,0.9425287356321839,0.9881081081081081,1.0,1.0
clf_7_348_48_8_False_RF_RF_0_nohp,clf,7,348,48,8,False,RF,RF,0,nohp,0.1325562000274658,True,0.9885057471264368,0.9951351351351352,1.0,1.0
clf_7_348_48_8_False_GBDT_XGBoost_0_nohp,clf,7,348,48,8,False,GBDT,XGBoost,0,nohp,0.0554981231689453,True,0.9540229885057471,0.9945945945945945,1.0,1.0
clf_7_348_48_8_False_GBDT_LGBM_0_nohp,clf,7,348,48,8,False,GBDT,LGBM,0,nohp,0.0275192260742187,True,0.9540229885057471,0.9918918918918919,1.0,1.0
clf_7_348_48_8_False_mlrnet_mlrnetfast_0_nohp,clf,7,348,48,8,False,mlrnet,mlrnetfast,0,nohp,1.2103052139282229,True,0.9540229885057471,0.9918918918918919,0.9913793103448276,0.9995426882893024
clf_7_348_48_8_False_NN_regularnetfast_0_nohp,clf,7,348,48,8,False,NN,regularnetfast,0,nohp,1.0972416400909424,True,0.9655172413793104,0.98,0.9913793103448276,0.9997889330566011
clf_7_348_48_9_False_Baseline_Intercept_0_nohp,clf,7,348,48,9,False,Baseline,Intercept,0,nohp,0.0021700859069824,True,0.5632183908045977,0.48406593406593407,0.5545977011494253,0.5717258261933904
clf_7_348_48_9_False_GLM_Ridge_0_nohp,clf,7,348,48,9,False,GLM,Ridge,0,nohp,0.0978245735168457,True,0.9655172413793104,0.9989010989010989,0.9885057471264368,0.9997901731071865
clf_7_348_48_9_False_GLM_LinearRidge_0_nohp,clf,7,348,48,9,False,GLM,LinearRidge,0,nohp,0.0052640438079833,True,0.9655172413793104,0.9972527472527473,0.9568965517241379,0.9974820772862388
clf_7_348_48_9_False_GLM_Lasso_0_nohp,clf,7,348,48,9,False,GLM,Lasso,0,nohp,0.2165524959564209,True,0.9655172413793104,0.9989010989010989,0.9885057471264368,0.9997901731071865
clf_7_348_48_9_False_GLM_Enet_0_nohp,clf,7,348,48,9,False,GLM,Enet,0,nohp,1.8013229370117188,True,0.9655172413793104,0.9983516483516484,0.9827586206896551,0.9982514425598882
clf_7_348_48_9_False_QDA_QDA_0_nohp,clf,7,348,48,9,False,QDA,QDA,0,nohp,0.0046288967132568,True,0.9655172413793104,0.9612637362637363,0.9626436781609196,0.9761147053680713
clf_7_348_48_9_False_TREE_CART_0_nohp,clf,7,348,48,9,False,TREE,CART,0,nohp,0.0032770633697509,True,0.9310344827586207,0.9236263736263737,1.0,1.0
clf_7_348_48_9_False_TREE_XCART_0_nohp,clf,7,348,48,9,False,TREE,XCART,0,nohp,0.0029850006103515,True,0.9080459770114943,0.8997252747252747,1.0,1.0
clf_7_348_48_9_False_RF_XRF_0_nohp,clf,7,348,48,9,False,RF,XRF,0,nohp,0.1111159324645996,True,0.9540229885057471,0.990934065934066,1.0,1.0
clf_7_348_48_9_False_GBDT_xgb_sklearn_0_nohp,clf,7,348,48,9,False,GBDT,xgb_sklearn,0,nohp,0.0814552307128906,True,0.9540229885057471,0.9912087912087912,1.0,1.0
clf_7_348_48_9_False_GBDT_ADABoost_0_nohp,clf,7,348,48,9,False,GBDT,ADABoost,0,nohp,0.0890302658081054,True,0.9770114942528736,0.9928571428571429,0.9885057471264368,0.9997552019583843
clf_7_348_48_9_False_NN_MLP_sklearn_0_nohp,clf,7,348,48,9,False,NN,MLP_sklearn,0,nohp,0.3036572933197021,True,0.9540229885057471,0.9950549450549451,1.0,1.0
clf_7_348_48_9_False_RF_RF_0_nohp,clf,7,348,48,9,False,RF,RF,0,nohp,0.1344969272613525,True,0.9655172413793104,0.9906593406593407,1.0,0.9999999999999999
clf_7_348_48_9_False_GBDT_XGBoost_0_nohp,clf,7,348,48,9,False,GBDT,XGBoost,0,nohp,0.0536036491394043,True,0.9655172413793104,0.9972527472527473,1.0,1.0
clf_7_348_48_9_False_GBDT_LGBM_0_nohp,clf,7,348,48,9,False,GBDT,LGBM,0,nohp,0.0275092124938964,True,0.9540229885057471,0.9923076923076923,1.0,1.0
clf_7_348_48_9_False_mlrnet_mlrnetfast_0_nohp,clf,7,348,48,9,False,mlrnet,mlrnetfast,0,nohp,1.5838501453399658,True,0.9540229885057471,0.9736263736263737,0.9942528735632183,1.0
clf_7_348_48_9_False_NN_regularnetfast_0_nohp,clf,7,348,48,9,False,NN,regularnetfast,0,nohp,1.600083827972412,True,0.9655172413793104,0.9824175824175824,0.9971264367816092,1.0
clf_8_228_42_0_False_GLM_LinearRidge_0_nohp,clf,8,228,42,0,False,GLM,LinearRidge,0,nohp,0.1647131443023681,True,0.6551724137931034,0.6296052631578948,0.7894736842105263,0.8091080698442662
clf_8_228_42_0_False_GLM_Lasso_0_nohp,clf,8,228,42,0,False,GLM,Lasso,0,nohp,0.5699682235717773,True,0.6379310344827587,0.6585526315789474,0.7894736842105263,0.8049079754601226
clf_8_228_42_0_False_GLM_Enet_0_nohp,clf,8,228,42,0,False,GLM,Enet,0,nohp,1.0076875686645508,True,0.7241379310344828,0.7526315789473684,0.7631578947368421,0.7554978763567721
clf_8_228_42_0_False_QDA_QDA_0_nohp,clf,8,228,42,0,False,QDA,QDA,0,nohp,0.006570816040039,True,0.5862068965517241,0.5368421052631579,0.6710526315789473,0.715762151958471
clf_8_228_42_0_False_TREE_CART_0_nohp,clf,8,228,42,0,False,TREE,CART,0,nohp,0.0039348602294921,True,0.7413793103448276,0.7282894736842104,0.9868421052631579,0.9995752713544125
clf_8_228_42_0_False_TREE_XCART_0_nohp,clf,8,228,42,0,False,TREE,XCART,0,nohp,0.0029571056365966,True,0.7068965517241379,0.6671052631578946,0.9868421052631579,0.9995752713544125
clf_8_228_42_0_False_RF_XRF_0_nohp,clf,8,228,42,0,False,RF,XRF,0,nohp,0.1142001152038574,True,0.7586206896551724,0.7677631578947369,0.9868421052631579,0.9995752713544125
clf_8_228_42_0_False_GBDT_xgb_sklearn_0_nohp,clf,8,228,42,0,False,GBDT,xgb_sklearn,0,nohp,0.0599617958068847,True,0.6896551724137931,0.6664473684210526,0.8903508771929824,0.9504955167531854
clf_8_228_42_0_False_GBDT_ADABoost_0_nohp,clf,8,228,42,0,False,GBDT,ADABoost,0,nohp,0.0838351249694824,True,0.6551724137931034,0.6282894736842106,0.7807017543859649,0.8078810759792355
clf_8_228_42_0_False_NN_MLP_sklearn_0_nohp,clf,8,228,42,0,False,NN,MLP_sklearn,0,nohp,0.2339422702789306,True,0.7241379310344828,0.7506578947368422,0.9692982456140351,0.9985370457763096
clf_8_228_42_0_False_RF_RF_0_nohp,clf,8,228,42,0,False,RF,RF,0,nohp,0.1375970840454101,True,0.7586206896551724,0.7888157894736844,0.9868421052631579,0.9995752713544125
clf_8_228_42_0_False_GBDT_XGBoost_0_nohp,clf,8,228,42,0,False,GBDT,XGBoost,0,nohp,0.0831227302551269,True,0.7241379310344828,0.6848684210526316,0.9824561403508771,0.9992921189240208
clf_8_228_42_0_False_GBDT_LGBM_0_nohp,clf,8,228,42,0,False,GBDT,LGBM,0,nohp,0.0384643077850341,True,0.6896551724137931,0.6980263157894737,0.8640350877192983,0.9325625294950448
clf_8_228_42_0_False_mlrnet_mlrnetfast_0_nohp,clf,8,228,42,0,False,mlrnet,mlrnetfast,0,nohp,5.787642955780029,True,0.6896551724137931,0.7677631578947368,0.8859649122807017,0.9035865974516282
clf_8_228_42_0_False_NN_regularnetfast_0_nohp,clf,8,228,42,0,False,NN,regularnetfast,0,nohp,0.9812488555908204,True,0.6379310344827587,0.6296052631578947,0.7850877192982456,0.820434167059934
clf_8_228_42_1_False_Baseline_Intercept_0_nohp,clf,8,228,42,1,False,Baseline,Intercept,0,nohp,0.0046072006225585,True,0.5689655172413793,0.5013888888888889,0.6666666666666666,0.4585612311115231
clf_8_228_42_1_False_GLM_Ridge_0_nohp,clf,8,228,42,1,False,GLM,Ridge,0,nohp,0.0703983306884765,True,0.6896551724137931,0.7145833333333333,0.7675438596491229,0.7688421247798276
clf_8_228_42_1_False_GLM_LinearRidge_0_nohp,clf,8,228,42,1,False,GLM,LinearRidge,0,nohp,0.0088393688201904,True,0.7068965517241379,0.6701388888888888,0.7894736842105263,0.7879391860572913
clf_8_228_42_1_False_GLM_Lasso_0_nohp,clf,8,228,42,1,False,GLM,Lasso,0,nohp,0.5918207168579102,True,0.6896551724137931,0.5,0.706140350877193,0.5
clf_8_228_42_1_False_GLM_Enet_0_nohp,clf,8,228,42,1,False,GLM,Enet,0,nohp,1.022876501083374,True,0.7758620689655172,0.7319444444444445,0.75,0.7421896727542412
clf_8_228_42_1_False_QDA_QDA_0_nohp,clf,8,228,42,1,False,QDA,QDA,0,nohp,0.0044517517089843,True,0.603448275862069,0.6034722222222222,0.6403508771929824,0.704320014832669
clf_8_228_42_1_False_TREE_CART_0_nohp,clf,8,228,42,1,False,TREE,CART,0,nohp,0.0035274028778076,True,0.6206896551724138,0.5333333333333333,0.9824561403508771,0.9992120144618521
clf_8_228_42_1_False_TREE_XCART_0_nohp,clf,8,228,42,1,False,TREE,XCART,0,nohp,0.0028822422027587,True,0.7241379310344828,0.6472222222222221,0.9824561403508771,0.9992120144618521
clf_8_228_42_1_False_RF_XRF_0_nohp,clf,8,228,42,1,False,RF,XRF,0,nohp,0.1149475574493408,True,0.7931034482758621,0.8173611111111111,0.9824561403508771,0.9992120144618521
clf_8_228_42_1_False_GBDT_xgb_sklearn_0_nohp,clf,8,228,42,1,False,GBDT,xgb_sklearn,0,nohp,0.0634489059448242,True,0.7068965517241379,0.7312500000000001,0.9035087719298246,0.9503569110966905
